,Unnamed: 0,Artist,Genres,Followers,Popularity,Songs,Length
3217,3217,Foxes,"['chamber pop', 'indie folk', 'indie pop', 'indie rock', 'seattle indie', 'stomp and holler']",5420953,81,"['The Middle', 'Stay', 'Clarity', 'Funny', 'Good Thing (with Kehlani)', 'Happy Now', 'Beautiful Now', '365', 'Inside Out (feat. Griff)', 'I Want You To Know']",10
3218,3218,Foxx,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop rap', 'r&b', 'southern hip hop', 'urban contemporary']",1485614,70,"['Mop Wit It', 'Set It Off', 'Nasty Nasty', 'Wipe Me Down (feat. Foxx, Webbie & Lil Boosie) - Remix', 'Period (feat. DaBaby)', 'Crazy', 'One of Them Days Again', 'No Juice', 'In My Pocket', 'Ghetto Story']",10
3226,3226,Frainbreeze,['progressive trance'],326595,61,"['Disconnected', 'Swamp Thing', 'Bring The Madness - Noisestorm Remix', 'Hero', 'Razor Sharp', 'Harpoon', 'Gunslinga', 'Hero - Infected Mushroom Remix', 'All Alone', 'Party Freaks']",10
3234,3234,Francesco Yates,['canadian pop'],2694960,84,"['All We Got (feat. KIDDO)', 'Waves - Robin Schulz Radio Edit', 'Sugar (feat. Francesco Yates)', 'One More Time (feat. Alida)', 'In Your Eyes (feat. Alida)', 'Alane', 'All We Got (feat. KIDDO) - Ofenbach Remix', 'Prayer in C - Robin Schulz Radio Edit', 'Monster - Robin Schulz Remix', 'Speechless (feat. Erika Sirola)']",10
3244,3244,Franco Argüelles,['vallenato'],1780118,63,"['Tú Eres La Reina', 'Ilusiones', 'Amarte Mas No Pude', 'Sin Medir Distancias', 'Asi Me Hizo Dios', 'La Suerte Esta Echada', 'La Plata', 'Ven Conmigo', 'Fantasia', 'A Un Cariño Del Alma']",10
3245,3245,Franco Battiato,"['classic italian pop', 'experimental', 'italian adult pop']",382902,61,"['La Cura', 'Centro Di Gravità Permanente - Remastered', 'Cuccurucucù - Remastered', 'Voglio Vederti Danzare - Remastered', 'E Ti Vengo A Cercare', 'Bandiera Bianca - Remastered', 'Summer On A Solitary Beach - 2008 Remaster', 'Sentimiento Nuevo - 2008 Remaster', 'Radio Varsavia - Remastered', 'I treni di tozeur - Remastered']",10
3249,3249,Franco De Vita,"['latin', 'latin arena pop', 'latin pop', 'rock en espanol', 'tropical']",2903560,72,"['Tú de Qué Vas', 'Si la Ves (feat. Sin Bandera)', 'Te Amo', 'Tan Sólo Tú (feat. Alejandra Guzmán) - Franco De Vita en Primera Fila', 'Un Buen Perdedor', 'Si La Ves (feat. Noel Schajris & Leonel García)', 'Un Buen Perdedor', 'Te Pienso Sin Querer (feat. Gloria Trevi) - Vuelve en Primera Fila - Live Version', 'Y Tú Te Vas (feat. Carlos Rivera) - Vuelve en Primera Fila - Live Version', 'Te Amo - En vivo']",10
3254,3254,Frank Ocean,"['alternative r&b', 'hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",7539666,86,"['Chanel', 'Godspeed', 'Pink + White', 'Ivy', 'Nights', 'In My Room', 'White Ferrari', 'Self Control', 'Lost', 'Thinkin Bout You']",10
3255,3255,Frank Reyes,"['bachata', 'bachata dominicana', 'dominican pop', 'latin', 'tropical']",431626,62,"['Payasos', 'Tu Eres Ajena', 'Quién Eres Tu', 'Mágicas Princesas', 'Decidí', 'Aventurero', 'Fecha de Vencimiento', 'Princesa', 'Como Hojas al Viento', 'Mujer de las Mil Batallas']",10
3262,3262,Frankie Goes To Hollywood,"['art rock', 'dance rock', 'hi-nrg', 'new romantic', 'new wave', 'new wave pop', 'synthpop']",514516,62,"['Relax', 'The Power Of Love', 'Two Tribes', 'Welcome To The Pleasuredome', 'Relax - New York Mix', 'Born To Run', 'San Jose', 'Welcome To The Pleasuredome - Escape Act Video Mix', 'War', 'Two Tribes - Carnage Mix']",10
3265,3265,Frankie Ruiz,"['latin', 'salsa', 'salsa puertorriquena', 'tropical']",719330,68,"['Deseándote', 'Tu Con El', 'Desnúdate Mujer', 'Mi Libertad', 'Tú Me Vuelves Loco', 'La Rueda', 'La Cura', 'Quiero Llenarte', 'Esta Cobardia', 'Y No Puedo']",10
3269,3269,Franky Rizardo,"['circuit', 'deep groove house', 'disco house', 'dutch house', 'dutch tech house', 'funky tech house', 'house', 'tech house']",439225,62,"['Bellyache - Marian Hill Remix', 'Down', 'One Time', 'Got It', 'Down - Franky Rizardo Remix', 'Back To Me', 'Lovit', 'I Want You', 'eat u alive', 'Lips']",10
3270,3270,Frans Brüggen,['classical performance'],1749719,74,"['Vivaldi Variation (Arr. for Piano from Concerto for Strings in G Minor, RV 156)', 'The Four Seasons - Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto', 'The Four Seasons - Summer in G Minor, RV. 315: III. Presto', 'Vivaldi: Violin Concerto in G Minor, RV 315 ""L\'estate"" (No. 2 from ""Il cimento dell\'armonia e dell\'inventione"", Op. 8): III. Presto', 'The Four Seasons - Winter in F Minor, RV. 297: I. Allegro non molto', 'Concerto for Lute, 2 Violins and Continuo in D major, RV 93: 2. Largo (Arr. for Guitar)', 'Concerto For 2 Mandolins, Strings And Continuo In G, RV 532: 3. Allegro', 'Vivaldi: Violin Concerto in E Major, RV 269, No. 1, Spring: I. Allegro', 'Vivaldi: The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": III. Presto', 'Nulla in mundo pax, RV 630: 1. Nulla in mundo pax']",10
3271,3271,Frans Helmerson,['classical cello'],405669,63,"['Serenade for Strings in E Major, Op. 22, B. 52: II. Tempo di valse', '8 Humoresques, Op. 101, B. 187: No. 7, Poco lento e grazioso (Transcribed by Oscar Morawetz for Violin, Cello & Orchestra)', '2 Pieces, Op. posth., B. 188: No. 1. Lullaby in G Major', 'Serenade for Strings in E, Op.22: 4. Larghetto', 'Slavonic Dance for Four Hands in E Minor, Op. 72/2: Dumka (Allegretto grazioso)', 'Symphony No.9 in E Minor, Op.95, B. 178 ""From The New World"": 4. Allegro con fuoco', 'Humoresque, Op. 101, No. 7', 'Cello Concerto In B Minor, Op.104, B. 191: 1. Allegro', 'Symphony No. 9 in E Minor, Op. 95 ""From the New World"": II. Largo - Live', 'String Quartet No. 5 in F Minor, Op. 9, B. 37: II. Andante con moto quasi allegretto']",10
3272,3272,Franz Ferdinand,"['alternative rock', 'dance-punk', 'indie rock', 'modern rock', 'new rave', 'rock', 'scottish rock']",2015160,69,"['Take Me Out', 'Do You Want To', 'No You Girls', 'The Dark Of The Matinée', 'Love Illumination', 'Walk Away', 'This Fire', 'Ulysses', 'Evil Eye', 'Jacqueline']",10
3273,3273,Franz Joseph Haydn,"['classical', 'classical era']",457916,61,"['Cello Concerto No. 1 in C Major, Hob. VIIb:1: II. Adagio', 'Haydn: String Quartet in C Major, Op. 76 No. 3, Hob. III:77 ""Emperor"": I. Allegro', 'String Quartet No. 62 in C Major, Op. 76, No. 3, Hob.III:77, ""Emperor"": II. Poco adagio, cantabile', 'Haydn: String Quartet in F Major, Op. 77 No. 2, Hob. III:82: II. Minuet. Presto - Trio', 'Cello Concerto No. 1 in C Major, Hob.VIIb:1: III. Allegro molto', 'Symphony No. 104 in D Major, Hob.I:104 ""London"": 4. Finale (Spiritoso) - Live', 'Piano Sonata (Partita) No. 13 in G Major, Hob. XVI:6: III. Adagio', 'Haydn: Twelve Little Divertimenti: Menuet: Un poco allegretto', 'Adagio in F, H.XVII No.9', 'Piano Sonata in E-Flat Major, Hob.XVI: 52: III. Finale: Presto']",10
3275,3275,Franz Liszt,"['classical', 'late romantic era']",560182,66,"['Liebestraume, S541/R211 : No. 3: Nocturne in A-Flat Major', '6 Consolations, S. 172: No. 3 In D Flat Major (Lento, placido)', 'Liebestraum No. 3 in A-Flat Major, S. 541 / 3', 'Ständchen, S. 560 (Trans. from Schwanengesang No. 4, D. 957)', 'La campanella in G-Sharp Minor (From ""Grandes études de Paganini"", S. 141 / 3)', 'Consolation No. 3 in D-Flat Major, S. 172', 'Ständchen in D Minor (After Schubert), S. 560', 'Ständchen (From Schwanengesang, D957)', 'Ave Maria, S. 558 (after Schubert, D. 839)', 'Liebestraum']",10
3276,3276,Franz Liszt Chamber Orchestra,"['chamber orchestra', 'hungarian classical performance']",4008949,79,"['Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan"": II. Andante', 'Fantasia in D Minor, K.397', 'Requiem, K. 626: Lacrimosa', 'Symphony No.25 in G minor, K.183: 1. Allegro con brio', 'Piano Sonata No. 16 in C Major, K. 545 ""Sonata facile"": 1. Allegro', 'Adagio in E Major, K. 261', 'Serenade No. 13 in G Major, K. 525 ""Eine kleine Nachtmusik"": I. Allegro', 'Requiem in D Minor, K. 626: Sequence: VI. Lacrimosa dies illa', 'Symphony No. 40 in G Minor, K. 550: I. Molto allegro', 'Mozart: Clarinet Concerto in A Major, K. 622: II. Adagio']",10
3277,3277,Franz Rupp,['historic classical performance'],3811803,76,"['Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto', 'Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio', 'Bagatelle No. 25 in A Minor, ""Für Elise"", WoO 59', 'Für Elise, WoO 59', 'Moonlight Sonata (First Movement from Piano Sonata No. 14, Op. 27 No. 2)', 'Piano Sonata No. 14 in C-sharp minor, Op. 27, No. 2, ""Moonlight"": I. Adagio sostenuto', 'Beethoven: Piano Sonata No. 8 in C Minor, Op. 13, ""Pathétique"": II. Adagio cantabile', 'Piano Concerto No. 5 in E-Flat Major, Op. 73 ""Emperor"": 2. Adagio un poco mosso', 'Wind Quintet in E-Flat Major, WoO 208, Hess 19: II. Adagio maestoso', 'Piano Sonata No. 8 in C minor, Op. 13, ""Pathétique"": II. Adagio cantabile']",10
3278,3278,Franz Schubert,"['classical', 'classical era', 'early romantic era']",818657,67,"['Minuet in A Major, D. 334', 'Ständchen, S. 560 (Trans. from Schwanengesang No. 4, D. 957)', 'Serenade', 'Die Nacht (Arr. for Cello and Guitar by Anja Lechner and Pablo Márquez)', '4 Impromptus, Op.90, D.899: No.4 in A Flat Major: Allegretto', '4 Impromptus, Op. 90, D. 899: No. 3 in G-flat major', 'Frühlingsglaube (Arr. Franz Liszt)', 'Schwanengesang, D. 957: Ständchen ""Leise flehen meine Lieder""', 'Ave Maria, D. 839', 'Impromptus, D 899, Op. 90: III. Andante']",10
3279,3279,Franz Welser-Möst,['orchestral performance'],4008949,79,"['Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan"": II. Andante', 'Fantasia in D Minor, K.397', 'Requiem, K. 626: Lacrimosa', 'Symphony No.25 in G minor, K.183: 1. Allegro con brio', 'Piano Sonata No. 16 in C Major, K. 545 ""Sonata facile"": 1. Allegro', 'Adagio in E Major, K. 261', 'Serenade No. 13 in G Major, K. 525 ""Eine kleine Nachtmusik"": I. Allegro', 'Requiem in D Minor, K. 626: Sequence: VI. Lacrimosa dies illa', 'Symphony No. 40 in G Minor, K. 550: I. Molto allegro', 'Mozart: Clarinet Concerto in A Major, K. 622: II. Adagio']",10
3280,3280,François Schubert,['german romanticism'],818657,67,"['Minuet in A Major, D. 334', 'Ständchen, S. 560 (Trans. from Schwanengesang No. 4, D. 957)', 'Serenade', 'Die Nacht (Arr. for Cello and Guitar by Anja Lechner and Pablo Márquez)', '4 Impromptus, Op.90, D.899: No.4 in A Flat Major: Allegretto', '4 Impromptus, Op. 90, D. 899: No. 3 in G-flat major', 'Frühlingsglaube (Arr. Franz Liszt)', 'Schwanengesang, D. 957: Ständchen ""Leise flehen meine Lieder""', 'Ave Maria, D. 839', 'Impromptus, D 899, Op. 90: III. Andante']",10
3281,3281,François-Joël Thiollier,"['classical piano', 'french classical piano']",1122563,72,"['Clair de Lune, L. 32', 'Rêverie', 'Suite bergamasque: Suite bergamasque: III. Clair de lune. Andante très expressif', 'Suite bergamasque, L. 75: 3. Clair de lune', 'Suite bergamasque, L. 75: Clair de lune', 'Rêverie, L. 68: Rêverie', 'Préludes / Book 2, L. 123: 5. Bruyères - Home Session', 'Dances for Harp and Orchestra, L. 103: 2. Danse profane', '2 Arabesques, L. 66: No. 1 in E Major', 'Debussy : Suite bergamasque : III Clair de lune']",10
3283,3283,Freak Nasty,"['atl hip hop', 'miami bass']",3899686,89,"['Beautiful Mistakes (feat. Megan Thee Stallion)', 'WAP (feat. Megan Thee Stallion)', 'Body', 'Cry Baby (feat. DaBaby)', 'Savage', 'Savage Remix (feat. Beyoncé)', 'Girls in the Hood', 'Captain Hook', 'Cash Shit (feat. DaBaby)', 'Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)']",10
3286,3286,Fred Hammond,['gospel'],13679181,92,"['Stronger', 'Ni**as In Paris', 'Heartless', 'FourFiveSeconds', 'Bound 2', 'POWER', 'Gold Digger', 'Father Stretch My Hands Pt. 1', 'Ghost Town', 'Flashing Lights']",10
3293,3293,Freddie Gibbs,"['alternative hip hop', 'hip hop', 'indiana hip hop', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",706277,74,"['4 Thangs (feat. Big Sean & Hit-Boy)', 'Gang Signs (feat. ScHoolboy Q)', 'Big Boss Rabbit', 'Something to Rap About (feat. Tyler, The Creator)', 'Crime Pays', 'Scottie Beam', '1985', 'God Is Perfect', 'Thuggin’', 'High (feat. Danny Brown)']",10
3299,3299,Freddie Scott,['southern soul'],706277,74,"['4 Thangs (feat. Big Sean & Hit-Boy)', 'Gang Signs (feat. ScHoolboy Q)', 'Big Boss Rabbit', 'Something to Rap About (feat. Tyler, The Creator)', 'Crime Pays', 'Scottie Beam', '1985', 'God Is Perfect', 'Thuggin’', 'High (feat. Danny Brown)']",10
3301,3301,Frederica von Stade,"['classical mezzo-soprano', 'opera']",4008949,79,"['Baba Yetu', 'Sogno di Volare (“The Dream of Flight”)', 'A New Course (Opening Movie)', 'Mado Kara Mieru', 'Kia Hora Te Marino', 'Waloyo Yamoni - ""We Overcome the Wind""', 'Nocturne', 'Iza Ngomso - ""Come Tomorrow""', 'Sogno di Volare (“The Dream of Flight”)', 'The Fall']",10
3302,3302,Frederick Stock,['historic orchestral performance'],2364984,77,"['Nocturne No.2 In E Flat, Op.9 No.2', 'Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.', 'Nocturne en mi bémol majeur opus 9 n°2: Ballade en Sol Mineur No.1', 'Nocturne, Op. posth. in C-Sharp Minor: Lento', '24 Préludes, Op. 28: No.4 in E minor - Largo', 'Nocturne No. 19 in E Minor, Op. 72, No. 1', 'Waltz in C-sharp minor, Op. 64 No. 2', 'Nocturne No.1 In B Flat Minor, Op.9 No.1', 'Nocturne No.6 In G Minor, Op.15 No.3', 'Waltz No.19 in A minor, Op.posth.']",10
3304,3304,Free Nationals,"['alternative r&b', 'indie soul']",137622,65,"['Eternal Light', 'Time', 'Beauty & Essex', 'On Sight', 'Gidget', 'Shibuya', 'Apartment', 'The Rivington', 'Photo ID - Free Nationals Remix', 'RENE']",10
3306,3306,Freeman,"['disney', 'movie tunes']",405966,67,"['Kosandra', 'Патрон', 'Minor', 'Yamakasi', 'All the Time', 'Не жалея', 'Brooklyn', 'Там ревели горы', 'Utopia', 'Freeman']",10
3307,3307,Freestyle,"['dominican pop', 'trap dominicano']",6742066,93,"['Wants and Needs (feat. Lil Baby)', 'On Me', 'Drip Too Hard (Lil Baby & Gunna)', 'Real As It Gets (feat. EST Gee)', 'We Paid (feat. 42 Dugg)', 'Yes Indeed', 'Errbody', 'The Bigger Picture', 'Close Friends (Lil Baby & Gunna)', 'Emotionally Scarred']",10
3312,3312,French National Radio Orchestra,['radio symphony'],268818,68,"['The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)', 'Carnival of the Animals, R. 125: The Swan', 'The Swan', 'Danse Macabre, Op.40, R.171', 'Le Cygne', 'Le Carnaval des Animaux, R.125: 13. The Swan (Arr. Hodge for Cello, Harp & Ensemble)', 'Danse macabre in G Minor, Op. 40', 'Le Carnaval des Animaux, R. 125: 13. Le Cygne', 'Carnival of the Animals: The Swan', 'Saint-Saëns / Transcr. Vidal: Le carnaval des animaux, R. 125: XIII. Le cygne']",10
3313,3313,Frente!,"['chicha', 'cumbia', 'nu-cumbia']",1673720,72,"['Aunque no sea conmigo', 'Frente a frente (feat. Tulsa)', 'Parecemos tontos', '...Y al final', 'La chispa adecuada (feat. León Larregui) - MTV Unplugged', 'Aunque no sea conmigo - 2018 Remaster', 'Sí', 'Ven y camina conmigo (feat. Pepe Aguilar) - MTV Unplugged', 'El sur (feat. Bunbury)', 'Lady Blue']",10
3315,3315,Fresh,['sound'],62829,74,"['M.I.L.F', 'South', 'Pico', 'Blammed', 'Dad Battle', 'Spookeez', 'Fresh', 'Philly Nice', 'Satin Panties', 'High']",10
3318,3318,Freya Ridings,"['pop', 'pop dance', 'uk pop']",274633,68,"['Lost Without You', 'Castles', 'Waking Up', 'Blackout', 'Waking Up', 'Unconditional', 'Love Is Fire - Single Version', 'Castles - Sam Feldt Remix', 'You Mean The World To Me', 'Castles - Acoustic']",10
3320,3320,Friedrich Gulda,"['austrian classical piano', 'classical performance', 'classical piano']",3140359,81,"['Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto', 'Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio', 'Bagatelle No. 25 in A Minor, ""Für Elise"", WoO 59', 'Für Elise, WoO 59', 'Moonlight Sonata (First Movement from Piano Sonata No. 14, Op. 27 No. 2)', 'Piano Sonata No. 14 in C-sharp minor, Op. 27, No. 2, ""Moonlight"": I. Adagio sostenuto', 'Beethoven: Piano Sonata No. 8 in C Minor, Op. 13, ""Pathétique"": II. Adagio cantabile', 'Piano Concerto No. 5 in E-Flat Major, Op. 73 ""Emperor"": 2. Adagio un poco mosso', 'Wind Quintet in E-Flat Major, WoO 208, Hess 19: II. Adagio maestoso', 'Piano Sonata No. 8 in C minor, Op. 13, ""Pathétique"": II. Adagio cantabile']",10
3321,3321,Friends,"['indie pop', 'la pop']",903578,77,"['Friends', 'Into It', 'Swim', 'Slow Down', 'Okay', 'Moonlight', 'Right Here', 'Falling', 'Church', 'Numb to the Feeling']",10
3322,3322,Fritz Kalkbrenner,"['german house', 'german techno', 'minimal techno', 'tropical house']",912225,68,"['Sky and Sand', 'No Goodbye', 'Parachute', 'Aaron', 'Cloud Rider', 'Feed Your Head', 'Dockyard', 'Azure', 'Feed Your Head - Radio Edit', 'Graf Zahl']",10
3325,3325,Frode Fjellheim,['yoik'],20637,64,"['Vuelie - From ""Frozen""/Score', 'Wanda\'s Theme (End Credits from ""WandaVision"")', 'Elsa and Anna - From ""Frozen""/Score', 'The Ship', 'Introduction', 'The Trolls - From ""Frozen""/Score', 'Heimr Àrnadalr - From ""Frozen""/Score', 'Theme from Ant-Man', 'Coronation Day - From ""Frozen""/Score', 'Winter\'s Waltz - From ""Frozen""/Score']",10
3326,3326,From Ashes to New,"['alternative metal', 'post-screamo', 'rap rock']",239059,63,"[""Scars That I'm Hiding (feat. Anders Fridén of In Flames)"", 'Panic', 'Through It All', 'My Fight', 'My Name', 'Broken', 'Crazy', 'Stay This Way', 'I Will Show You', 'Breaking Now']",9
3332,3332,Frou Frou,"['downtempo', 'etherpop', 'lilith', 'metropopolis']",410105,64,"['Cherry-coloured Funk', 'Heaven or Las Vegas', 'Sea, Swallow Me', 'Lorelei', 'Pearly-Dewdrops\' Drops - 7"" Version', 'Pitch the Baby', 'Iceblink Luck', 'Fifty-fifty Clown', 'Frou-frou Foxes in Midsummer Fires', 'Pandora (for Cindy)']",10
3333,3333,Fruit Bats,"['deep new americana', 'freak folk', 'funk', 'indie folk', 'indie pop', 'indie rock', 'modern rock', 'new americana', 'shimmer pop', 'stomp and holler']",118286,62,"['The Bottom of It', 'Humbug Mountain Song', 'When U Love Somebody', 'Cazadera', 'Shane', 'Today', 'Ocean', 'The Pet Parade', 'Holy Rose', 'A Lingering Love']",10
3335,3335,Frédéric Chopin,"['classical', 'early romantic era', 'polish classical']",2364984,77,"['Nocturne No.2 In E Flat, Op.9 No.2', 'Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.', 'Nocturne en mi bémol majeur opus 9 n°2: Ballade en Sol Mineur No.1', 'Nocturne, Op. posth. in C-Sharp Minor: Lento', '24 Préludes, Op. 28: No.4 in E minor - Largo', 'Nocturne No. 19 in E Minor, Op. 72, No. 1', 'Waltz in C-sharp minor, Op. 64 No. 2', 'Nocturne No.1 In B Flat Minor, Op.9 No.1', 'Nocturne No.6 In G Minor, Op.15 No.3', 'Waltz No.19 in A minor, Op.posth.']",10
3336,3336,Fuego,"['dominican pop', 'latin', 'latin hip hop', 'rap dominicano', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical', 'urbano espanol']",3228561,78,"['Recap (with VanJess & Channel Tres)', 'Topdown', 'All That (with Channel Tres)', 'fuego (feat. Tyler, The Creator)', 'Weedman', 'Impact (feat. Robyn & Channel Tres)', 'Controller', 'Palms (with Channel Tres)', 'EARFQUAKE - Channel Tres Remix', 'Sexy Black Timberlake']",10
3337,3337,Fuel,"['alternative metal', 'alternative rock', 'nu metal', 'pop rock', 'post-grunge', 'rap rock', 'rock']",17430153,85,"['Enter Sandman', 'Nothing Else Matters', 'Master of Puppets (Remastered)', 'The Unforgiven', 'Whiskey In The Jar', 'One (Remastered)', 'Sad But True', 'For Whom The Bell Tolls (Remastered)', 'Fade To Black (Remastered)', 'Seek & Destroy (Remastered)']",10
3338,3338,Fuerza Regida,"['corrido', 'corridos tumbados', 'nuevo regional mexicano', 'regional mexican', 'sierreno']",1025272,73,"['Sigo Chambeando', 'Radicamos En South Central', 'El Dinero Los Cambio', 'El Muchacho Alegre', 'Adicto', 'No Es Pa Presumir', 'Al Millón', 'Aunque Les Pese', 'Ahí Les Va', 'Soy de Michoacan']",10
3340,3340,Fugees,"['east coast hip hop', 'gangster rap', 'hip hop', 'new jersey rap', 'rap']",917905,70,"['Killing Me Softly With His Song', 'Ready or Not', 'Fu-Gee-La', 'No Woman, No Cry', 'Nappy Heads - Remix', 'Zealots', 'How Many Mics', 'The Score (feat. Diamond D)', 'Vocab - Refugees Hip Hop Remix', 'Family Business (feat. John Forté)']",10
3343,3343,Fume,"['uk drill', 'uk hip hop']",885678,71,"['XO', 'sex (catching feelings)', 'crash', 'drugs', 'Wake Up', 'rock + roll', 'Fumes', 'Circles', 'Gravity', 'End Credits']",10
3346,3346,Funk Machine,"['deep big room', 'sky room']",4165561,75,"['Killing In The Name', 'Bulls On Parade', 'Guerrilla Radio', 'Sleep Now In the Fire', 'Renegades Of Funk', 'Testify', 'Bombtrack', 'Wake Up', 'Know Your Enemy', 'Take The Power Back']",10
3349,3349,Funky,"['alternative hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'oakland hip hop', 'rap', 'turntablism']",69938,62,"['Funkytown', 'Designer Music', 'Designer Music - Radio Edit', 'Funkytown', 'How Long', 'Funkytown - Domy R Informal Remix', 'Funkytown', 'Rock It', 'Rock It - Edit', 'All Night Dancing']",10
3350,3350,Fuse ODG,"['afro dancehall', 'azonto', 'dance pop', 'pop dance']",103455,66,"['Dangerous Love', 'Lazy Day (feat. Danny Ocean)', 'Boa Me (feat. Ed Sheeran & Mugeez)', 'Feels Like Home', 'Million Pound Girl (Badder Than Bad)', 'Azonto', 'Antenna - UK Radio Edit', 'T.I.N.A. - Radio Edit', 'Antenna - UK Club Mix', 'All Night Long (feat. SteffLon Don)']",10
3351,3351,Future,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",10080523,91,"['Life Is Good (feat. Drake)', 'Mask Off', 'Drankin N Smokin', 'Company (feat. Future)', 'Fine China', 'Low Life (feat. The Weeknd)', 'Hard For The Next (with Future)', 'Jumpman', 'Go Crazy (Remix) (feat. Young Thug, Future, Lil Durk & Mulatto)', 'FRANCHISE (feat. Future, Young Thug & M.I.A.) - REMIX']",10
3352,3352,Future Breeze,"['acid trance', 'bubble trance', 'dream trance', 'german techno', 'german trance']",101186,62,"['Ecuador - Original Radio Edit', 'Encore Une Fois - Future Breeze Edit', 'Stay - Original Single Edit', 'Adelante - Radio Edit', 'Ecuador', 'Raindrops (Encore une fois Pt. II) - Kindervater Radio Edit', 'Ecuador - Radio Edit', 'Adelante', 'Mysterious Times', 'Coming Home - Radio Edit']",10
3353,3353,Future Islands,"['alternative dance', 'baltimore indie', 'chillwave', 'indie rock', 'modern rock']",453757,64,"['Seasons (Waiting on You)', 'For Sure', 'A Dream of You and Me', 'The Moon Is Blue', 'Moonlight', 'Ran', 'Black Out Days - Future Islands Remix', 'Little Dreamer', 'Balance', 'Thrill']",10
3357,3357,G Herbo,"['chicago drill', 'chicago rap', 'drill', 'rap', 'southern hip hop', 'trap']",1152223,75,"['PTSD', 'Onna Come Up (feat. G Herbo) [Remix]', 'Really Like That', 'Statement', 'On Yo Ass', 'Break Yoself', 'All Black', 'Stress Relief (with G Herbo)', 'Kill Shit (feat. Lil Bibby) [Bonus Track]', 'Lawyer Fees']",10
3358,3358,G Mills,['lo-fi beats'],1164,67,"['twopointeight', 'Hiding in a Flower', 'Superlunary', 'Fig Trees', 'Long Walk, Short Dock', 'Rose Bay', 'Field of Stars', 'To You, From Me', 'Inside Out', 'Before Sunrise']",10
3359,3359,G-DRAGON,"['k-pop', 'k-rap']",3766903,80,"['LILAC', 'Celebrity', 'eight(Prod.&Feat. SUGA of BTS)', 'Coin', 'Blueming', 'BBIBBI', 'Flu', 'Troll (Feat. DEAN)', 'Palette (feat. G-DRAGON)', 'My sea']",10
3360,3360,G-Eazy,"['hip hop', 'indie pop rap', 'oakland hip hop', 'pop rap', 'rap']",4812140,83,"['Still Be Friends (feat. Tory Lanez & Tyga)', 'Provide (feat. Chris Brown & Mark Morrison)', 'Him & I (with Halsey)', 'Me, Myself & I', 'No Limit', 'Share That Love (feat. G-Eazy)', 'I Mean It (feat. Remo)', 'Hate The Way (feat. blackbear)', 'Moana', 'Some Kind Of Drug (feat. Marc E. Bassy)']",10
3364,3364,G. N. Balasubramaniam,"['carnatic', 'carnatic vocal', 'indian classical']",1372750,70,"['Yeh Haseen Vadiyan Yeh Khula Aasman', 'Ayyayo', 'Marana Mass - From ""Petta""', 'Kathalikkum Penin Kaikal', 'Pehla Pehla Pyar', 'Malare', 'Kaadhal Rojave (From ""Roja"")', 'Sundari', 'Vennelave Vennelave', 'Yamma Yamma']",10
3366,3366,GIANT,"['indie pop', 'indie rock', 'modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp and holler']",894673,82,"['Paradise (feat. Dermot Kennedy)', 'Giants', 'Power Over Me', 'Outnumbered', 'Days Like This', 'Power', 'Paradise - Vintage Culture Remix', 'Rome', 'Outnumbered - Acoustic', 'After Rain']",10
3367,3367,GLC,['chicago rap'],13679181,92,"['Stronger', 'Ni**as In Paris', 'Heartless', 'FourFiveSeconds', 'Bound 2', 'POWER', 'Gold Digger', 'Father Stretch My Hands Pt. 1', 'Ghost Town', 'Flashing Lights']",10
3368,3368,GOT7,"['k-pop', 'k-pop boy group']",4772325,73,"['Encore', 'NOT BY THE MOON', 'You Calling My Name', 'LAST PIECE', 'Breath', '딱 좋아(Just right)', 'Lullaby', '하드캐리 Hard Carry', 'Never Ever', 'POISON']",10
3371,3371,GZA,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",347408,61,"[""Shadowboxin'"", '4th Chamber', 'Liquid Swords', 'Duel Of The Iron Mic', 'Living In The World Today', 'Cold World', 'B.I.B.L.E. (Basic Instructions Before Leaving Earth)', 'Investigative Reports', 'On The Eve Of War (Julio Caesar Chavez Mix)', 'Gold']",9
